,Year,Month,Value
0,2023.0,8.0,377.643
1,2023.0,7.0,376.732
2,2023.0,6.0,376.865
3,2023.0,5.0,374.557
4,2023.0,4.0,373.554
5,2023.0,3.0,373.221
6,2023.0,2.0,369.63
7,2023.0,1.0,367.385
8,2022.0,12.0,365.482
9,2022.0,11.0,362.667
10,2022.0,10.0,362.707
11,2022.0,9.0,359.095
12,2022.0,8.0,356.626
13,2022.0,7.0,354.599
14,2022.0,6.0,352.03
15,2022.0,5.0,350.26
16,2022.0,4.0,348.376
17,2022.0,3.0,346.94
18,2022.0,2.0,346.992
19,2022.0,1.0,344.644
20,2021.0,12.0,343.329
21,2021.0,11.0,342.54
22,2021.0,10.0,341.667
23,2021.0,9.0,342.328
24,2021.0,8.0,340.516
25,2021.0,7.0,339.328
26,2021.0,6.0,337.136
27,2021.0,5.0,335.387
28,2021.0,4.0,334.088
29,2021.0,3.0,332.735
30,2021.0,2.0,332.52
31,2021.0,1.0,332.383
32,2020.0,12.0,331.56
33,2020.0,11.0,331.084
34,2020.0,10.0,330.736
35,2020.0,9.0,331.358
36,2020.0,8.0,330.642
37,2020.0,7.0,329.702
38,2020.0,6.0,329.276
39,2020.0,5.0,328.585
40,2020.0,4.0,325.92
41,2020.0,3.0,327.72
42,2020.0,2.0,326.946
43,2020.0,1.0,326.418
44,2019.0,12.0,324.498
45,2019.0,11.0,323.795
46,2019.0,10.0,323.521
47,2019.0,9.0,324.837
48,2019.0,8.0,322.998
49,2019.0,7.0,322.604
50,2019.0,6.0,322.249
51,2019.0,5.0,322.367
52,2019.0,4.0,320.302
53,2019.0,3.0,319.278
54,2019.0,2.0,318.536
55,2019.0,1.0,317.912
56,2018.0,12.0,316.087
57,2018.0,11.0,315.856
58,2018.0,10.0,314.802
59,2018.0,9.0,314.012
60,2018.0,8.0,312.873
61,2018.0,7.0,313.263
62,2018.0,6.0,314.264
63,2018.0,5.0,313.371
64,2018.0,4.0,311.516
65,2018.0,3.0,309.865
66,2018.0,2.0,309.433
67,2018.0,1.0,308.309
68,2017.0,12.0,305.197
69,2017.0,11.0,306.663
70,2017.0,10.0,304.313
71,2017.0,9.0,304.81
72,2017.0,8.0,302.997
73,2017.0,7.0,302.201
74,2017.0,6.0,304.455
75,2017.0,5.0,302.965
76,2017.0,4.0,300.859
77,2017.0,3.0,299.877
78,2017.0,2.0,301.142
79,2017.0,1.0,300.959
80,2016.0,12.0,298.542
81,2016.0,11.0,300.016
82,2016.0,10.0,298.177
83,2016.0,9.0,298.231
84,2016.0,8.0,296.09
85,2016.0,7.0,295.812
86,2016.0,6.0,297.282
87,2016.0,5.0,294.568
88,2016.0,4.0,294.479
89,2016.0,3.0,294.015
90,2016.0,2.0,295.174
91,2016.0,1.0,294.048
92,2015.0,12.0,290.244
93,2015.0,11.0,290.674
94,2015.0,10.0,289.986
95,2015.0,9.0,289.844
96,2015.0,8.0,288.675
97,2015.0,7.0,288.348
98,2015.0,6.0,288.019
99,2015.0,5.0,286.568
100,2015.0,4.0,286.671
101,2015.0,3.0,286.671
102,2015.0,2.0,285.694
103,2015.0,1.0,285.014
104,2014.0,12.0,283.784
105,2014.0,11.0,284.083
106,2014.0,10.0,283.879
107,2014.0,9.0,283.56
108,2014.0,8.0,282.484
109,2014.0,7.0,281.554
110,2014.0,6.0,280.905
111,2014.0,5.0,279.606
112,2014.0,4.0,278.779
113,2014.0,3.0,278.107
114,2014.0,2.0,278.108
115,2014.0,1.0,278.363
116,2013.0,12.0,277.647
117,2013.0,11.0,278.257
118,2013.0,10.0,277.013
119,2013.0,9.0,276.812
120,2013.0,8.0,277.261
121,2013.0,7.0,276.966
122,2013.0,6.0,275.563
123,2013.0,5.0,274.526
124,2013.0,4.0,274.282
125,2013.0,3.0,273.668
126,2013.0,2.0,273.071
127,2013.0,1.0,271.793
128,2012.0,12.0,270.719
129,2012.0,11.0,270.978
130,2012.0,10.0,270.492
131,2012.0,9.0,269.779
132,2012.0,8.0,270.458
133,2012.0,7.0,270.387
134,2012.0,6.0,270.507
135,2012.0,5.0,269.341
136,2012.0,4.0,268.71
137,2012.0,3.0,269.4
138,2012.0,2.0,268.285
139,2012.0,1.0,268.18
140,2011.0,12.0,267.612
141,2011.0,11.0,267.451
142,2011.0,10.0,267.028
143,2011.0,9.0,265.768
144,2011.0,8.0,265.894
145,2011.0,7.0,265.814
146,2011.0,6.0,264.739
147,2011.0,5.0,264.493
148,2011.0,4.0,263.87
149,2011.0,3.0,263.751
150,2011.0,2.0,263.722
151,2011.0,1.0,262.619
152,2010.0,12.0,261.563
153,2010.0,11.0,261.365
154,2010.0,10.0,260.819
155,2010.0,9.0,260.656
156,2010.0,8.0,260.594
157,2010.0,7.0,260.099
158,2010.0,6.0,260.381
159,2010.0,5.0,260.712
160,2010.0,4.0,261.056
161,2010.0,3.0,261.268
162,2010.0,2.0,261.481
163,2010.0,1.0,261.476
164,2009.0,12.0,261.088
165,2009.0,11.0,262.047
166,2009.0,10.0,263.244
167,2009.0,9.0,262.396
168,2009.0,8.0,263.712
169,2009.0,7.0,263.064
170,2009.0,6.0,262.328
171,2009.0,5.0,260.321
172,2009.0,4.0,259.494
173,2009.0,3.0,258.969
174,2009.0,2.0,259.478
175,2009.0,1.0,259.878
176,2008.0,12.0,258.783
177,2008.0,11.0,258.749
178,2008.0,10.0,260.09
179,2008.0,9.0,260.886
180,2008.0,8.0,261.532
181,2008.0,7.0,262.624
182,2008.0,6.0,263.63
183,2008.0,5.0,262.836
184,2008.0,4.0,262.555
185,2008.0,3.0,263.657
186,2008.0,2.0,261.947
187,2008.0,1.0,262.185
188,2007.0,12.0,260.434
189,2007.0,11.0,260.505
190,2007.0,10.0,261.095
191,2007.0,9.0,260.824
192,2007.0,8.0,261.815
193,2007.0,7.0,259.37
194,2007.0,6.0,258.051
195,2007.0,5.0,256.567
196,2007.0,4.0,256.257
197,2007.0,3.0,255.253
198,2007.0,2.0,254.221
199,2007.0,1.0,253.197
200,2006.0,12.0,251.3
201,2006.0,11.0,252.1
202,2006.0,10.0,253.2
203,2006.0,9.0,250.6
204,2006.0,8.0,251.3
205,2006.0,7.0,250.3
206,2006.0,6.0,249.7
207,2006.0,5.0,247.7
208,2006.0,4.0,247.3
209,2006.0,3.0,246.5
210,2006.0,2.0,246.5
211,2006.0,1.0,245.6
212,2005.0,12.0,245.3
213,2005.0,11.0,244.3
214,2005.0,10.0,243.7
215,2005.0,9.0,244.8
216,2005.0,8.0,246.1
217,2005.0,7.0,244.8
218,2005.0,6.0,244.8
219,2005.0,5.0,242.5
220,2005.0,4.0,241.1
221,2005.0,3.0,239.6
222,2005.0,2.0,238.4
223,2005.0,1.0,238.4
224,2004.0,12.0,238.6
225,2004.0,11.0,238.6
226,2004.0,10.0,240.8
227,2004.0,9.0,239.8
228,2004.0,8.0,240.3
229,2004.0,7.0,239.1
230,2004.0,6.0,238.7
231,2004.0,5.0,237.0
232,2004.0,4.0,236.9
233,2004.0,3.0,235.5
234,2004.0,2.0,235.1
235,2004.0,1.0,234.2
236,2003.0,12.0,236.0
237,2003.0,11.0,236.0
238,2003.0,10.0,236.9
239,2003.0,9.0,236.3
240,2003.0,8.0,235.1
241,2003.0,7.0,235.2
242,2003.0,6.0,233.4
243,2003.0,5.0,232.6
244,2003.0,4.0,232.6
245,2003.0,3.0,232.1
246,2003.0,2.0,232.7
247,2003.0,1.0,231.8
248,2002.0,12.0,232.0
249,2002.0,11.0,231.4
250,2002.0,10.0,231.1
251,2002.0,9.0,230.1
252,2002.0,8.0,228.5
253,2002.0,7.0,228.9
254,2002.0,6.0,230.5
255,2002.0,5.0,229.8
256,2002.0,4.0,228.3
257,2002.0,3.0,226.3
258,2002.0,2.0,225.8
259,2002.0,1.0,223.9
260,2001.0,12.0,223.0
261,2001.0,11.0,221.8
262,2001.0,10.0,220.9
263,2001.0,9.0,220.2
264,2001.0,8.0,219.3
265,2001.0,7.0,218.6
266,2001.0,6.0,216.9
267,2001.0,5.0,215.9
268,2001.0,4.0,214.9
269,2001.0,3.0,214.3
270,2001.0,2.0,212.9
271,2001.0,1.0,212.4
272,2000.0,12.0,211.7
273,2000.0,11.0,211.8
274,2000.0,10.0,211.9
275,2000.0,9.0,211.8
276,2000.0,8.0,211.7
277,2000.0,7.0,212.2
278,2000.0,6.0,210.5
279,2000.0,5.0,209.7
280,2000.0,4.0,207.3
281,2000.0,3.0,207.5
282,2000.0,2.0,206.5
283,2000.0,1.0,205.3
284,1999.0,12.0,203.8
285,1999.0,11.0,203.2
286,1999.0,10.0,203.7
287,1999.0,9.0,204.2
288,1999.0,8.0,204.0
289,1999.0,7.0,204.0
290,1999.0,6.0,203.4
291,1999.0,5.0,201.8
292,1999.0,4.0,201.5
293,1999.0,3.0,199.6
294,1999.0,2.0,198.9
295,1999.0,1.0,198.0
296,1998.0,12.0,197.0
297,1998.0,11.0,196.7
298,1998.0,10.0,197.4
299,1998.0,9.0,196.7
300,1998.0,8.0,196.7
301,1998.0,7.0,196.1
302,1998.0,6.0,196.0
303,1998.0,5.0,194.5
304,1998.0,4.0,193.8
305,1998.0,3.0,193.3
306,1998.0,2.0,192.4
307,1998.0,1.0,191.7
308,1997.0,12.0,190.9
309,1997.0,11.0,191.0
310,1997.0,10.0,190.8
311,1997.0,9.0,189.9
312,1997.0,8.0,189.5
313,1997.0,7.0,188.5
314,1997.0,6.0,187.2
315,1997.0,5.0,185.8
316,1997.0,4.0,184.6
317,1997.0,3.0,183.9
318,1997.0,2.0,183.7
319,1997.0,1.0,182.6
320,1996.0,12.0,181.8
321,1996.0,11.0,181.9
322,1996.0,10.0,181.9
323,1996.0,9.0,180.9
324,1996.0,8.0,181.4
325,1996.0,7.0,181.1
326,1996.0,6.0,180.4
327,1996.0,5.0,179.4
328,1996.0,4.0,179.0
329,1996.0,3.0,178.4
330,1996.0,2.0,178.2
331,1996.0,1.0,177.5
332,1995.0,12.0,177.8
333,1995.0,11.0,177.3
334,1995.0,10.0,176.9
335,1995.0,9.0,176.4
336,1995.0,8.0,176.5
337,1995.0,7.0,175.8
338,1995.0,6.0,174.8
339,1995.0,5.0,174.2
340,1995.0,4.0,173.6
341,1995.0,3.0,172.7
342,1995.0,2.0,171.8
343,1995.0,1.0,170.9
344,1994.0,12.0,170.1
345,1994.0,11.0,168.9
346,1994.0,10.0,167.0
347,1994.0,9.0,168.2
348,1994.0,8.0,167.4
349,1994.0,7.0,166.8
350,1994.0,6.0,167.1
351,1994.0,5.0,165.7
352,1994.0,4.0,165.1
353,1994.0,3.0,164.2
354,1994.0,2.0,163.8
355,1994.0,1.0,163.3
356,1993.0,12.0,163.6
357,1993.0,11.0,163.4
358,1993.0,10.0,163.0
359,1993.0,9.0,161.2
360,1993.0,8.0,160.2
361,1993.0,7.0,159.9
362,1993.0,6.0,159.6
363,1993.0,5.0,159.6
364,1993.0,4.0,159.0
365,1993.0,3.0,158.1
366,1993.0,2.0,158.5
367,1993.0,1.0,158.2
368,1992.0,12.0,158.1
369,1992.0,11.0,157.7
370,1992.0,10.0,157.6
371,1992.0,9.0,158.6
372,1992.0,8.0,158.4
373,1992.0,7.0,157.4
374,1992.0,6.0,157.0
375,1992.0,5.0,155.4
376,1992.0,4.0,155.0
377,1992.0,3.0,155.2
378,1992.0,2.0,155.2
379,1992.0,1.0,154.6
380,1991.0,12.0,153.3
381,1991.0,11.0,153.2
382,1991.0,10.0,153.6
383,1991.0,9.0,153.3
384,1991.0,8.0,153.4
385,1991.0,7.0,152.9
386,1991.0,6.0,151.6
387,1991.0,5.0,151.7
388,1991.0,4.0,149.5
389,1991.0,3.0,150.2
390,1991.0,2.0,149.0
391,1991.0,1.0,149.3
392,1990.0,12.0,149.2
393,1990.0,11.0,148.8
394,1990.0,10.0,148.2
395,1990.0,9.0,147.2
396,1990.0,8.0,148.0
397,1990.0,7.0,146.6
398,1990.0,6.0,144.0
399,1990.0,5.0,143.1
400,1990.0,4.0,144.2
401,1990.0,3.0,142.7
402,1990.0,2.0,141.4
403,1990.0,1.0,140.2
404,1989.0,12.0,139.8
405,1989.0,11.0,139.6
406,1989.0,10.0,140.3
407,1989.0,9.0,139.7
408,1989.0,8.0,138.2
409,1989.0,7.0,138.6
410,1989.0,6.0,137.8
411,1989.0,5.0,137.1
412,1989.0,4.0,136.8
413,1989.0,3.0,135.6
414,1989.0,2.0,134.1
415,1989.0,1.0,133.8
416,1988.0,12.0,132.6
417,1988.0,11.0,134.0
418,1988.0,10.0,135.2
419,1988.0,9.0,133.6
420,1988.0,8.0,132.1
421,1988.0,7.0,131.4
422,1988.0,6.0,130.1
423,1988.0,5.0,129.4
424,1988.0,4.0,129.0
425,1988.0,3.0,129.2
426,1988.0,2.0,129.3
427,1988.0,1.0,128.3
428,1987.0,12.0,128.0
429,1987.0,11.0,127.3
430,1987.0,10.0,125.5
431,1987.0,9.0,125.5
432,1987.0,8.0,125.3
433,1987.0,7.0,123.8
434,1987.0,6.0,123.2
435,1987.0,5.0,123.0
436,1987.0,4.0,121.8
437,1987.0,3.0,121.5
438,1987.0,2.0,121.5
439,1987.0,1.0,121.3
440,1986.0,12.0,120.2
441,1986.0,11.0,121.1
442,1986.0,10.0,119.9
443,1986.0,9.0,119.0
444,1986.0,8.0,118.3
445,1986.0,7.0,118.4
446,1986.0,6.0,117.3
447,1986.0,5.0,117.9
448,1986.0,4.0,117.6
449,1986.0,3.0,115.9
450,1986.0,2.0,115.4
451,1986.0,1.0,115.5
452,1985.0,12.0,115.1
453,1985.0,11.0,114.0
454,1985.0,10.0,114.2
455,1985.0,9.0,114.4
456,1985.0,8.0,114.8
457,1985.0,7.0,112.2
458,1985.0,6.0,112.3
459,1985.0,5.0,112.4
460,1985.0,4.0,111.5
461,1985.0,3.0,109.7
462,1985.0,2.0,110.0
463,1985.0,1.0,110.5
464,1984.0,12.0,109.1
465,1984.0,11.0,108.2
466,1984.0,10.0,107.8
467,1984.0,9.0,107.7
468,1984.0,8.0,106.6
469,1984.0,7.0,105.8
470,1984.0,6.0,105.7
471,1984.0,5.0,104.8
472,1984.0,4.0,104.1
473,1984.0,3.0,103.2
474,1984.0,2.0,103.1
475,1984.0,1.0,103.1
476,1983.0,12.0,103.2
477,1983.0,11.0,102.2
478,1983.0,10.0,101.3
479,1983.0,9.0,101.2
480,1983.0,8.0,100.7
481,1983.0,7.0,100.2
482,1983.0,6.0,99.5
483,1983.0,5.0,98.9
484,1983.0,4.0,98.7
485,1983.0,3.0,98.3
486,1983.0,2.0,98.1
487,1983.0,1.0,97.7
488,1982.0,12.0,97.7
489,1982.0,11.0,99.6
490,1982.0,10.0,99.2
491,1982.0,9.0,98.3
492,1982.0,8.0,98.0
493,1982.0,7.0,97.5
494,1982.0,6.0,96.5
495,1982.0,5.0,95.7
496,1982.0,4.0,89.8
497,1982.0,3.0,87.2
498,1982.0,2.0,85.2
499,1982.0,1.0,85.7
500,1981.0,12.0,84.6
501,1981.0,11.0,87.7
502,1981.0,10.0,87.5
503,1981.0,9.0,87.9
504,1981.0,8.0,88.0
505,1981.0,7.0,86.5
506,1981.0,6.0,84.9
507,1981.0,5.0,82.2
508,1981.0,4.0,81.6
509,1981.0,3.0,78.5
510,1981.0,2.0,79.9
511,1981.0,1.0,81.0
512,1980.0,12.0,84.3
513,1980.0,11.0,85.2
514,1980.0,10.0,80.3
515,1980.0,9.0,76.9
516,1980.0,8.0,73.7
517,1980.0,7.0,76.6
518,1980.0,6.0,78.7
519,1980.0,5.0,75.0
520,1980.0,4.0,72.9
521,1980.0,3.0,69.6
522,1980.0,2.0,69.3
523,1980.0,1.0,69.8
